text,label
UPI payment of ₹75.25 done to abc@okhdfc,1
Credited INR75.25 from wallet@okhdfcbank,1
Received 50Rs from savings@okaxisbank,0
UPI payment of INR75.25 done to abc@okhdfc,1
UPI payment of INR12000 done to abc@okhdfc,1
Your A/c has been credited with 999₹ by paytm@ybl,0
Transfer of ₹875.75 to friend@okicici,1
UPI payment of ₹999 done to abc@okhdfc,0
Credited Rs950.00 from wallet@okhdfcbank,1
Sent Rs12000 to rent@okaxisbank,0
Sent 75.25Rs to rent@okaxisbank,0
Payment of Rs425.50 made to grocery@okicici,0
Sent 950.00Rs to rent@okaxisbank,1
Received 950.00₹ from savings@okaxisbank,1
Received INR50 via UPI from salary@okhdfc,1
Sent 300₹ to rent@okaxisbank,0
Debited Rs12000 to recharge@okaxis,1
UPI payment of 875.75₹ done to abc@okhdfc,1
Received 300₹ via UPI from salary@okhdfc,1
Transfer of Rs999 to friend@okicici,0
Transfer of 875.75₹ to friend@okicici,1
Sent 425.50INR to rent@okaxisbank,1
Debited 999Rs to recharge@okaxis,0
Received Rs999 via UPI from salary@okhdfc,0
Sent ₹875.75 to rent@okaxisbank,1
Transfer of INR50 to friend@okicici,1
Transfer of Rs1350 to friend@okicici,1
UPI payment of ₹300 done to abc@okhdfc,1
425.50₹ sent to utility@oksbi using BHIM,0
Sent 1350Rs to rent@okaxisbank,0
Payment of 75.25Rs made to grocery@okicici,0
Transfer of 50INR to friend@okicici,1
Transfer of 999₹ to friend@okicici,1
Payment of ₹75.25 made to grocery@okicici,1
Sent 300INR to rent@okaxisbank,0
Debited Rs999 to recharge@okaxis,0
Your A/c has been credited with 425.50INR by paytm@ybl,0
Your A/c has been credited with INR425.50 by paytm@ybl,0
Debited ₹50 to recharge@okaxis,0
Debited INR12000 to recharge@okaxis,1
Received ₹999 via UPI from salary@okhdfc,1
Payment of 2100Rs made to grocery@okicici,0
Credited INR300 from wallet@okhdfcbank,0
Payment of ₹875.75 made to grocery@okicici,1
Credited Rs875.75 from wallet@okhdfcbank,1
Debited 950.00Rs to recharge@okaxis,1
Sent 425.50INR to rent@okaxisbank,1
Credited ₹12000 from wallet@okhdfcbank,0
Credited 875.75INR from wallet@okhdfcbank,1
Sent ₹50 to rent@okaxisbank,1
Transfer of 75.25Rs to friend@okicici,0
Sent 950.00Rs to rent@okaxisbank,1
Transfer of INR999 to friend@okicici,1
Payment of Rs425.50 made to grocery@okicici,1
Your A/c has been credited with Rs75.25 by paytm@ybl,1
Received Rs999 from savings@okaxisbank,1
Received Rs950.00 via UPI from salary@okhdfc,0
Your A/c has been credited with 999Rs by paytm@ybl,0
Received 300₹ via UPI from salary@okhdfc,0
Payment of 875.75₹ made to grocery@okicici,1
UPI payment of 50₹ done to abc@okhdfc,1
Sent ₹50 to rent@okaxisbank,1
Payment of Rs300 made to grocery@okicici,0
UPI payment of 12000INR done to abc@okhdfc,0
Credited ₹300 from wallet@okhdfcbank,1
INR50 sent to utility@oksbi using BHIM,1
Received 875.75INR via UPI from salary@okhdfc,0
12000₹ sent to utility@oksbi using BHIM,0
Payment of INR50 made to grocery@okicici,1
Payment of ₹75.25 made to grocery@okicici,1
Payment of Rs425.50 made to grocery@okicici,1
Payment of 425.50₹ made to grocery@okicici,1
UPI payment of 2100Rs done to abc@okhdfc,1
Sent 50INR to rent@okaxisbank,0
Transfer of Rs999 to friend@okicici,1
Transfer of 1350INR to friend@okicici,0
Transfer of ₹950.00 to friend@okicici,1
Transfer of 875.75₹ to friend@okicici,0
Transfer of 1350₹ to friend@okicici,1
Payment of 425.50INR made to grocery@okicici,0
UPI payment of 75.25INR done to abc@okhdfc,0
Your A/c has been credited with ₹2100 by paytm@ybl,1
Received 2100INR from savings@okaxisbank,0
UPI payment of 950.00INR done to abc@okhdfc,0
UPI payment of ₹875.75 done to abc@okhdfc,1
Transfer of INR950.00 to friend@okicici,1
Your A/c has been credited with 75.25INR by paytm@ybl,1
₹875.75 sent to utility@oksbi using BHIM,0
Received Rs12000 from savings@okaxisbank,0
Transfer of Rs75.25 to friend@okicici,0
Received Rs2100 from savings@okaxisbank,0
Debited ₹300 to recharge@okaxis,1
Debited INR1350 to recharge@okaxis,0
Payment of 999₹ made to grocery@okicici,0
Transfer of INR950.00 to friend@okicici,0
Transfer of ₹50 to friend@okicici,1
